split, sceneId, level, roomId, roomType, startX, startY, startZ, startAngle, goalObjectId, goalX, goalY, goalZ, dist, pathDist, pathNumDoors, pathDoorIds, pathNumRooms, pathRoomIndices
test,Brinnon,2,,,-3.158,-3.041,-0.411,1.197,,-4.220,5.544,-0.413,8.651,11.732,,,,
test,Brinnon,2,,,-2.311,10.520,-0.418,3.729,,-4.889,5.395,-0.413,5.738,13.267,,,,
test,Brinnon,2,,,-1.890,-0.389,-0.436,1.533,,-2.201,9.371,-0.421,9.765,21.721,,,,
test,Brinnon,2,,,3.535,9.299,-0.388,2.969,,-2.201,9.371,-0.421,5.736,23.937,,,,
test,Brinnon,2,,,3.517,3.060,-0.396,5.400,,-7.372,12.311,-0.395,14.288,19.694,,,,
test,Brinnon,2,,,-3.507,-0.557,-0.440,1.913,,3.441,11.545,-0.376,13.955,18.473,,,,
test,Brinnon,2,,,0.425,-2.823,-0.415,1.972,,3.441,11.545,-0.376,14.681,17.530,,,,
test,Brinnon,2,,,3.197,-0.617,-0.406,3.200,,0.275,11.572,-0.393,12.534,14.746,,,,
test,Brinnon,2,,,1.993,-0.033,-0.413,1.473,,0.307,9.131,-0.407,9.318,11.074,,,,
test,Brinnon,2,,,3.441,11.545,-0.376,3.339,,-7.618,4.223,-0.399,13.263,14.732,,,,
test,Brinnon,2,,,-6.279,4.264,-0.416,4.934,,-3.298,10.537,-0.418,6.945,9.579,,,,
test,Brinnon,2,,,-5.240,-0.510,-0.429,2.152,,-0.078,-0.401,-0.425,5.163,5.163,,,,
test,Brinnon,2,,,3.454,4.234,-0.400,3.990,,-6.506,5.310,-0.410,10.018,13.021,,,,
test,Brinnon,2,,,-5.308,1.163,-0.441,4.810,,-2.311,10.520,-0.418,9.825,15.539,,,,
test,Brinnon,2,,,1.945,1.530,-0.403,2.611,,-4.889,5.395,-0.413,7.851,8.033,,,,
test,Brinnon,2,,,-3.355,-1.772,-0.427,1.084,,-2.608,11.713,-0.409,13.505,18.942,,,,
test,Brinnon,2,,,-3.158,-3.041,-0.411,1.197,,-2.201,9.371,-0.421,12.449,22.611,,,,
test,Brinnon,2,,,-5.308,1.163,-0.441,4.810,,-6.099,10.932,-0.411,9.801,10.578,,,,
test,Brinnon,2,,,-0.362,4.173,-0.412,4.997,,-7.561,7.440,-0.405,7.905,9.207,,,,
test,Brinnon,2,,,1.945,1.530,-0.403,2.611,,-7.099,9.067,-0.409,11.773,14.244,,,,
test,Brinnon,2,,,-1.809,4.294,-0.418,4.475,,-4.631,10.117,-0.417,6.471,13.242,,,,
test,Brinnon,2,,,-0.349,5.555,-0.414,4.875,,-6.352,6.169,-0.235,6.037,6.100,,,,
test,Brinnon,2,,,-5.240,-0.510,-0.429,2.152,,-0.349,5.555,-0.414,7.792,8.986,,,,
test,Brinnon,2,,,0.425,-2.823,-0.415,1.972,,-5.312,2.797,-0.423,8.032,10.946,,,,
test,Brinnon,2,,,-5.240,-0.510,-0.429,2.152,,-1.783,6.654,-0.407,7.954,9.478,,,,
test,Brinnon,2,,,-6.327,-0.677,-0.423,3.475,,2.000,6.949,-0.399,11.291,13.228,,,,
test,Brinnon,2,,,-3.507,-0.557,-0.440,1.913,,-7.561,7.440,-0.405,8.966,10.200,,,,
test,Brinnon,2,,,-3.158,-3.041,-0.411,1.197,,-6.352,6.169,-0.235,9.750,11.034,,,,
test,Brinnon,2,,,3.692,5.649,-0.401,3.229,,-6.279,4.264,-0.416,10.066,11.838,,,,
test,Brinnon,2,,,0.275,11.572,-0.393,5.606,,-0.349,5.555,-0.414,6.049,7.973,,,,
test,Brinnon,2,,,0.275,11.572,-0.393,5.606,,-0.362,4.173,-0.412,7.426,9.304,,,,
test,Brinnon,2,,,-3.355,-1.772,-0.427,1.084,,-0.362,4.173,-0.412,6.656,11.404,,,,
test,Brinnon,2,,,3.113,-2.889,-0.396,1.850,,-6.099,10.932,-0.411,16.610,20.850,,,,
test,Brinnon,2,,,2.000,6.949,-0.399,3.259,,-0.369,2.003,-0.412,5.484,6.645,,,,
test,Brinnon,2,,,3.722,1.918,-0.388,2.333,,-6.099,10.932,-0.411,13.331,18.055,,,,
test,Brinnon,2,,,-6.327,-0.677,-0.423,3.475,,-0.349,5.555,-0.414,8.635,10.085,,,,
test,Brinnon,2,,,-6.327,-0.677,-0.423,3.475,,3.441,11.545,-0.376,15.645,17.839,,,,
